player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,6,False,J03WPY_Home_7
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,6,False,J03WPY_Home_7
DFL-OBJ-002FYC,DFL-CLU-000005,Away,Defender,2,True,J03WPY_Home_71
DFL-OBJ-002G68,DFL-CLU-000005,Away,Defender,3,True,J03WPY_Home_71
DFL-OBJ-002G68,DFL-CLU-000005,Away,Defender,1,False,J03WPY_Home_72
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,True,J03WPY_Home_74
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Home_77
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Home_77
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,2,True,J03WPY_Home_77
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,3,False,J03WPY_Home_77
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,3,False,J03WPY_Home_78
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Home_83
DFL-OBJ-0028BZ,DFL-CLU-000005,Away,Forward,3,False,J03WPY_Home_83
DFL-OBJ-0028T3,DFL-CLU-000005,Away,Midfielder,4,False,J03WPY_Home_83
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,4,True,J03WPY_Home_83
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,4,False,J03WPY_Home_83
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,5,True,J03WPY_Home_83
DFL-OBJ-J0178P,DFL-CLU-000005,Away,Unknown,5,False,J03WPY_Home_83
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,6,False,J03WPY_Home_83
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,1,False,J03WPY_Home_84
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Home_86
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Home_86
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,1,True,J03WPY_Home_88
DFL-OBJ-0001HW,DFL-CLU-000005,Away,Goalkeeper,1,False,J03WPY_Home_88
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Home_88
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,True,J03WPY_Home_9
DFL-OBJ-002595,DFL-CLU-000005,Away,Midfielder,2,True,J03WPY_Home_91
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,1,False,J03WPY_Home_92
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Home_92
DFL-OBJ-00008F,DFL-CLU-000005,Away,Defender,0,False,J03WPY_Home_97
DFL-OBJ-0001LJ,DFL-CLU-000005,Away,Defender,2,False,J03WPY_Home_97
DFL-OBJ-0026RH,DFL-CLU-00000P,Home,Midfielder,2,True,J03WPY_Home_97
DFL-OBJ-002GG4,DFL-CLU-000005,Away,Midfielder,2,False,J03WPY_Home_97
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,2,False,J03WPY_Home_97
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,3,False,J03WPY_Home_97
DFL-OBJ-002GM9,DFL-CLU-00000P,Home,Defender,4,False,J03WPY_Home_97
