player,tID,team,role,cluster,is_handling,possessionID
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,2,False,J03WOY_Away_220
DFL-OBJ-J01H9X,DFL-CLU-00000P,Home,Midfielder,3,False,J03WOY_Away_220
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_223
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_227
DFL-OBJ-J01KJ5,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_227
DFL-OBJ-00028V,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_227
DFL-OBJ-0028FW,DFL-CLU-00000P,Home,Goalkeeper,3,False,J03WOY_Away_227
DFL-OBJ-J01GG9,DFL-CLU-00000Q,Away,Unknown,3,False,J03WOY_Away_227
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,4,False,J03WOY_Away_227
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,6,False,J03WOY_Away_227
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_23
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,2,False,J03WOY_Away_23
DFL-OBJ-J01GG9,DFL-CLU-00000Q,Away,Unknown,1,True,J03WOY_Away_230
DFL-OBJ-0000F8,DFL-CLU-00000P,Home,Midfielder,0,False,J03WOY_Away_232
DFL-OBJ-0028IJ,DFL-CLU-00000Q,Away,Midfielder,0,False,J03WOY_Away_232
DFL-OBJ-0001IG,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_237
DFL-OBJ-002GM1,DFL-CLU-00000P,Home,Midfielder,1,False,J03WOY_Away_237
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,2,False,J03WOY_Away_237
DFL-OBJ-002FXA,DFL-CLU-00000Q,Away,Unknown,1,False,J03WOY_Away_239
DFL-OBJ-002G5J,DFL-CLU-00000P,Home,Midfielder,2,False,J03WOY_Away_239
DFL-OBJ-0000NZ,DFL-CLU-00000P,Home,Defender,1,False,J03WOY_Away_242
DFL-OBJ-0028IJ,DFL-CLU-00000Q,Away,Midfielder,1,False,J03WOY_Away_242
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,2,True,J03WOY_Away_242
DFL-OBJ-0026ZT,DFL-CLU-00000Q,Away,Midfielder,3,False,J03WOY_Away_242
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,5,False,J03WOY_Away_242
DFL-OBJ-00019R,DFL-CLU-00000Q,Away,Forward,1,True,J03WOY_Away_246
DFL-OBJ-002GMO,DFL-CLU-00000P,Home,Defender,2,False,J03WOY_Away_246
DFL-OBJ-002FXT,DFL-CLU-00000P,Home,Forward,1,False,J03WOY_Away_25
